instance,k,lower_bound,upper_bound,total_cost,amplitude,note
eil51,2,222.73,222.73,444.33,1.14,optimal single value reported
eil51,3,150.70,159.57,477.15,0.99,interval reported
eil51,5,96.91,123.96,615.19,2.97,interval reported
eil51,7,75.91,112.07,762.83,12.40,interval reported
eil51,7,72.42,112.46,777.33,4.49,starred 120h CPLEX result
berlin52,2,4049.05,4110.21,8217.94,2.49,interval reported
berlin52,3,2753.63,3244.37,9591.15,87.61,interval reported
berlin52,5,1671.69,2441.39,12084.90,71.01,interval reported
berlin52,7,1272.06,2440.92,16768.79,212.06,interval reported
eil76,2,280.85,280.85,561.48,0.23,optimal single value reported
eil76,3,186.34,197.34,587.65,3.73,interval reported
eil76,5,117.61,150.30,748.43,1.04,interval reported
eil76,7,88.35,139.62,964.69,8.36,interval reported
rat99,2,620.99,728.71,1456.95,0.47,interval reported
rat99,3,426.25,587.17,1751.95,9.37,interval reported
rat99,3,426.72,597.55,1780.48,6.98,starred 96h CPLEX result
rat99,5,271.91,469.25,2336.22,4.58,interval reported
rat99,5,273.55,531.87,2647.85,5.83,starred 168h CPLEX result
rat99,7,210.41,443.91,3074.30,21.70,interval reported
rat99,7,210.02,537.59,3688.91,50.32,starred 216h CPLEX result
