group_key,runs,mean_relative_max_route,mean_max_route_improvement_pct,median_max_route_improvement_pct,win_rate,mean_max_route,mean_total_distance,mean_balance,mean_runtime,mean_iterations,best_max_route,worst_max_route,stage
baseline,42,1.0,0.0,0.0,0.0,954.2301995350942,21302.579980273447,408.3324520201625,13.141718902381053,487.4761904761905,563.0342990213389,1646.4155430008998,baseline
small_destroy,42,0.9934630114386125,0.6536988561387561,0.007977318227946771,0.5476190476190477,947.3295844429338,21154.72182855181,396.7316318978662,10.637497226190524,1762.8809523809523,589.5056937742,1670.73372456928,destroy_tuning
medium_destroy,42,0.9979137971430828,0.2086202856917235,0.0,0.2619047619047619,952.5861719695171,21350.00450238478,417.2909698294204,12.720129192857538,609.9285714285714,563.0342990213389,1649.7651804931302,destroy_tuning
large_destroy,42,1.0085265470029587,-0.8526547002958852,0.0,0.23809523809523808,961.0984621035467,21322.46171958711,426.31184683419093,18.233242588095543,274.6666666666667,583.128214797419,1686.5754177336005,destroy_tuning
very_large_destroy,42,1.0138868198472135,-1.3886819847213407,-0.17820259202358224,0.19047619047619047,968.5704207436493,21479.150280471793,441.2808369954069,20.30800196190484,186.21428571428572,588.5133398599999,1711.9125502466004,destroy_tuning
balanced,84,0.9961503940949094,0.3849605905090608,0.0,0.36904761904761907,950.2659748421086,21238.65307083095,413.7662687020099,12.221672521428056,1262.5238095238096,561.1502710796199,1676.3038378174006,sa_tuning
strict,84,0.9965482710261512,0.34517289738488083,0.0,0.36904761904761907,950.7818870081402,21214.129942096028,407.52252733695406,11.985769071428876,1270.0833333333333,564.0328102486799,1691.7140952028296,sa_tuning
default_slow,84,0.9975637567668935,0.24362432331065106,0.0,0.38095238095238093,951.3329237783936,21290.276372595017,398.17877061928766,12.255716776190422,953.702380952381,581.9946022497888,1679.0861570055006,sa_tuning
very_exploratory,84,0.9981482780880103,0.18517219119896985,0.0,0.36904761904761907,952.0410798032634,21277.58160564566,401.19462627553577,11.676063874999661,956.1547619047619,586.5285239274,1703.54168766,sa_tuning
default,84,0.9985411742719815,0.14588257280184752,0.0,0.2857142857142857,952.577414656154,21251.245186820608,415.115502909391,12.331972851190239,983.3571428571429,581.9946022497888,1667.8551142310005,sa_tuning
aggressive_best,168,0.9886673807548808,1.1332619245119198,0.0059694249538487345,0.5357142857142857,943.7594464429459,21123.4509584117,411.50959054973174,10.562208241666754,2134.9166666666665,552.6798780839999,1659.2904341054002,reward_tuning
default,168,0.99040999028798,0.9590009712019972,0.009985046450253342,0.5654761904761905,944.9068118330343,21170.37960122214,401.4463035141627,10.848536294643184,2175.684523809524,562.52776187462,1656.3511619384,reward_tuning
improvement_only,168,0.9904501855513153,0.9549814448684757,0.0,0.48214285714285715,945.8991831378482,21166.148851399892,404.4966012629924,11.287547785119386,1922.547619047619,553.37887616972,1696.1500890129298,reward_tuning
smooth_reward,168,0.9917113235408274,0.8288676459172635,0.0,0.47023809523809523,946.0158982445927,21209.252478269285,402.79016932274675,11.2169311654763,1897.5595238095239,556.0780804377998,1675.2293841433996,reward_tuning
exploration_friendly,168,0.9934466283133071,0.6553371686692919,0.0,0.44047619047619047,947.7269357715985,21251.037454544654,389.2222008050713,11.279217986904639,1736.952380952381,563.0342990213389,1661.36951888363,reward_tuning
small_destroy__strict__aggressive_best,42,0.9850024688893813,1.499753111061876,0.19026040686790602,0.6190476190476191,941.3829574967102,21081.466933834257,420.84084458364543,10.257777152380315,3788.785714285714,552.6798780839999,1659.2904341054002,final_selection
small_destroy__strict__default,42,0.985700597179706,1.4299402820294005,0.22084944240633386,0.6190476190476191,941.2255168675674,21083.737864172643,395.1565263152033,10.253732540475799,3495.214285714286,562.52776187462,1656.3511619384,final_selection
small_destroy__balanced__aggressive_best,42,0.9884786123275441,1.1521387672455932,0.004887354883963513,0.5238095238095238,943.3652113047058,21060.858877332103,417.48952287614736,10.42300505476236,2553.5,558.5193038113,1653.1628472482303,final_selection
medium_destroy__balanced__default,42,0.9900996007488703,0.9900399251129698,0.01806620279240235,0.5714285714285714,944.3915162973609,21255.727348799886,400.0358640288369,10.785770200000462,1105.5,563.0342990213389,1638.5427240670297,final_selection
small_destroy__balanced__default,42,0.9901675346339666,0.9832465366033474,0.03600257712635986,0.5952380952380952,944.3384053181657,21087.006709069687,398.95362110208356,10.379078595238493,3455.6190476190477,573.1862147411499,1654.1067104195001,final_selection
medium_destroy__strict__aggressive_best,42,0.9904883892396128,0.951161076038718,0.0,0.47619047619047616,945.1448312936662,21141.053282726014,409.33319926743394,10.77684662619036,1093.047619047619,565.5662960794998,1659.2382864422802,final_selection
medium_destroy__balanced__aggressive_best,42,0.9907000525629851,0.9299947437014916,0.005464378289335256,0.5238095238095238,945.1447856767012,21210.42473975443,398.3747954717002,10.791204133333979,1104.3333333333333,570.8580765249201,1655.3080407224297,final_selection
medium_destroy__strict__default,42,0.9956722285893773,0.4327771410622715,0.0,0.47619047619047616,949.6718088490431,21255.046482846337,411.6392026105272,11.975563842857984,646.4047619047619,580.245520941289,1649.2461827258007,final_selection
