group_key,runs,instances,score_max,score_total,gap_max_pct,gap_total_pct,mean_max_route,mean_total_distance,mean_balance,mean_runtime,mean_iterations,best_max_route,worst_max_route,stage
baseline,42,14,1.0,1.0,0.0,0.0,962.3334757175112,26397.90257612365,154.94003096076628,10.000794233349595,897.7380952380952,587.200249808,1785.52529846359,baseline
shake10,42,14,0.9982802123721796,1.0011443553223758,-0.1719787627820435,0.11443553223757785,959.9442010585828,26494.987008823853,148.4064588871443,10.000722854761296,659.0952380952381,587.200249808,1741.7206457732004,shake_tuning
shake7,42,14,0.9983297574352401,0.9981817469700535,-0.1670242564759894,-0.18182530299465371,961.1127992900109,26395.21429177937,151.01791287663664,10.000611871425505,779.547619047619,587.200249808,1823.7886803228198,shake_tuning
shake5,42,14,0.9990711232182323,1.001048642662565,-0.09288767817676735,0.10486426625651024,961.3111558834421,26489.571812488706,151.26338338007426,10.000678983328509,946.1190476190476,587.200249808,1785.52529846359,shake_tuning
shake3,42,14,1.0039437578926016,1.0033774257942507,0.3943757892601596,0.337742579425071,965.2406788341609,26458.179576681356,150.7643357396651,10.000743835715443,1258.3809523809523,587.200249808,1785.52529846359,shake_tuning
cand24,84,14,0.9981617184551772,0.9996358643170917,-0.18382815448227952,-0.036413568290827314,960.4453611114619,26454.561470211196,152.09299826219834,10.000677771420063,730.0833333333334,587.200249808,1823.7886803228198,candidate_tuning
cand16,84,14,0.9982867755817124,1.000103016780912,-0.17132244182875844,0.010301678091195754,960.5308031004479,26466.783824914957,152.50047596150304,10.000798621429741,713.5714285714286,587.200249808,1823.7886803228198,candidate_tuning
cand32,84,14,0.998318168723263,1.0000167127304338,-0.16818312767370447,0.001671273043379884,960.5443863124169,26462.128206971636,149.06835327578705,10.000860955961148,720.5952380952381,587.200249808,1823.7886803228198,candidate_tuning
cand48,84,14,0.9984599914716152,0.9998713061809663,-0.1540008528384762,-0.012869381903368726,960.7101579399464,26449.56964728928,150.16057800326936,10.000764816668205,717.8690476190476,587.200249808,1823.7886803228198,candidate_tuning
shake10__cand24,42,14,0.9979858113050585,1.0008237048239066,-0.2014188694941521,0.08237048239065903,959.7659757507043,26489.813960381587,148.76675817081673,10.000803178561563,668.1190476190476,587.200249808,1741.7206457732004,final_selection
shake10__cand16,42,14,0.9980037822083999,1.0009204333825075,-0.19962177916000856,0.09204333825074684,959.7768550243843,26494.154650797274,149.1077868738682,10.000860252384362,670.7857142857143,587.200249808,1741.7206457732004,final_selection
shake7__cand24,42,14,0.9983376256052959,0.9984480238102769,-0.16623743947040692,-0.15519761897231366,961.1247464722195,26419.30898004081,155.41923835357997,10.000552364278562,792.047619047619,587.200249808,1823.7886803228198,final_selection
shake7__cand16,42,14,0.9985697689550248,0.9992856001793164,-0.14302310449751943,-0.07143998206835533,961.2847511765115,26439.41299903264,155.89316504913788,10.000736990475119,756.3571428571429,587.200249808,1823.7886803228198,final_selection
